P_ID,P_Name,Category,Specs,Price,Nro_Ope,Edad_Prom,Flg_Hombre,Flg_Mujer,Per_VenL,Mes_Lanza,Prod_Rat,Flg_M5_post,Und_M6,Und_Ven,Afin_Hombre,Afin_Mujer,Edad_Pts,MesL_Pts,Grupo_Specs,Nom_Gru_Specs,Rango_Precio,Val_Ran_Precio,C1_Rat,C3_Ven,Flag_Exito,Flag_Exito2,Flag_Exito3,Flag_Exito4,Flag_Exito5,Flag_Exito6,Flag_Exito7
PD_21005945,Weight,1,trip,147.12,2,35,1,0,202303,3,4.0,0,10,14,0.4976,0.0,4,1,7.0,7: Gestión emocional,De s/101 a s/200,2,1,1,0,0,1,0,0,1,1
PD_21007634,From,0,deep,26.02,3,54,1,0,202303,3,3.67,0,5,15,0.4954,0.0,2,2,2.0,2: Desarrollo personal,De s/10 a s/100,1,1,0,0,0,1,0,0,0,0
PD_21007667,Answer,1,news,426.82,1,35,0,1,202311,11,1.0,0,10,10,0.0,0.4976,4,-1,5.0,5: Entorno social,De s/401 a s/500,5,0,1,0,0,0,0,0,1,0
PD_21007912,Million,3,exactly,140.15,2,56,0,1,202312,12,3.0,0,9,18,0.0,0.5248,1,2,0.0,0: Sin valor temático,De s/101 a s/200,2,1,1,0,0,1,0,0,1,1
PD_21008080,Administration,3,high,68.9,1,46,1,0,202311,11,2.0,0,1,1,0.5248,0.0,4,-1,3.0,3: Entorno familiar,De s/10 a s/100,1,0,1,0,0,0,0,0,1,0
PD_21008322,Approach,3,chair,54.4,4,29,1,1,202303,3,3.5,0,1,12,0.5248,0.5248,7,2,9.0,9: Instituciones,De s/10 a s/100,1,1,0,0,0,1,0,0,0,0
PD_21008733,Early,3,us,362.87,1,68,1,0,202306,6,5.0,0,7,7,0.5248,0.0,6,2,0.0,0: Sin valor temático,De s/301 a s/400,4,1,1,0,0,1,0,0,1,1
PD_21009038,School,3,standard,62.73,3,54,0,1,202306,6,3.33,0,4,12,0.0,0.5248,3,2,4.0,4: Entorno laboral,De s/10 a s/100,1,1,0,0,0,1,0,0,0,0
PD_21009430,Two,0,always,200.25,2,51,0,1,202403,3,3.0,0,5,10,0.0,0.4954,2,2,7.0,7: Gestión emocional,De s/201 a s/300,3,1,1,0,0,1,0,0,1,1
PD_21009863,Collection,3,early,247.9,2,54,0,1,202402,2,4.0,0,6,12,0.0,0.5248,3,-1,0.0,0: Sin valor temático,De s/201 a s/300,3,1,1,0,0,1,0,0,1,1
PD_21000596,Floor,2,control,196.15,3,35,1,1,202303,3,3.33,0,9,29,0.498,0.498,3,2,2.0,2: Desarrollo personal,De s/101 a s/200,2,1,0,0,0,1,0,0,0,0
PD_21000764,Hold,3,within,391.23,2,61,0,1,202401,1,1.0,0,6,12,0.0,0.5248,1,2,0.0,0: Sin valor temático,De s/301 a s/400,4,0,1,0,0,0,0,0,1,0
PD_21002436,Entire,3,every,452.59,1,45,1,0,202305,5,4.0,0,8,8,0.5248,0.0,4,-1,0.0,0: Sin valor temático,De s/401 a s/500,5,1,1,0,0,1,0,0,1,1
PD_21004828,Media,1,marriage,254.46,1,30,0,1,202311,11,3.0,0,7,7,0.0,0.4976,7,-1,3.0,3: Entorno familiar,De s/201 a s/300,3,1,1,0,0,1,0,0,1,1
PD_21004868,Option,1,art,313.1,4,56,1,0,202311,11,3.5,0,5,20,0.4976,0.0,1,-1,1.0,1: Arte y creatividad,De s/301 a s/400,4,1,0,0,0,1,0,0,0,0
PD_21006919,Central,0,summer,436.22,3,22,0,1,202408,8,2.33,0,10,30,0.0,0.4954,6,2,6.0,6: Hogar,De s/401 a s/500,5,0,0,0,0,0,0,0,0,0
PD_21008332,Side,0,see,192.86,8,43,1,1,202302,2,2.38,0,9,49,0.4954,0.4954,4,1,0.0,0: Sin valor temático,De s/101 a s/200,2,0,0,0,0,0,0,0,0,0
PD_21008385,During,3,little,356.82,2,21,1,0,202402,2,2.5,0,5,10,0.5248,0.0,5,-1,0.0,0: Sin valor temático,De s/301 a s/400,4,0,1,0,0,0,0,0,1,0
PD_21000458,Stock,1,low,61.22,4,40,1,0,202302,2,3.75,0,1,4,0.4976,0.0,4,2,8.0,8: Cuidado personal,De s/10 a s/100,1,1,0,0,0,1,0,0,0,0
PD_21007183,Cell,1,will,67.59,3,48,1,0,202312,12,3.67,0,1,7,0.4976,0.0,2,2,0.0,0: Sin valor temático,De s/10 a s/100,1,1,0,0,0,1,0,0,0,0
PD_21000009,Company,2,about,162.23,5,33,0,1,202301,1,2.4,0,7,20,0.0,0.498,6,3,0.0,0: Sin valor temático,De s/101 a s/200,2,0,0,0,0,0,0,0,0,0
PD_21000484,Bad,2,citizen,268.64,3,45,0,1,202301,1,3.67,0,6,20,0.0,0.498,1,3,4.0,4: Entorno laboral,De s/201 a s/300,3,1,0,0,0,1,0,0,0,0
PD_21002185,Analysis,3,evidence,100.51,1,31,0,1,202410,10,1.0,0,6,6,0.0,0.5248,7,2,2.0,2: Desarrollo personal,De s/101 a s/200,2,0,1,0,0,0,0,0,1,0
PD_21002189,Treat,2,crime,431.14,2,47,0,1,202411,11,3.0,0,2,4,0.0,0.498,1,2,5.0,5: Entorno social,De s/401 a s/500,5,1,1,0,0,1,0,0,1,1
PD_21002360,Accept,3,bring,139.59,1,43,0,1,202411,11,5.0,0,4,4,0.0,0.5248,4,-1,2.0,2: Desarrollo personal,De s/101 a s/200,2,1,1,0,0,1,0,0,1,1
PD_21002733,Employee,0,crime,105.02,2,45,1,1,202305,5,1.0,0,10,12,0.4954,0.4954,4,6,5.0,5: Entorno social,De s/101 a s/200,2,0,1,0,0,0,0,0,1,0
PD_21004231,They,1,want,495.18,2,63,1,1,202303,3,0.5,0,4,10,0.4976,0.4976,5,1,0.0,0: Sin valor temático,De s/401 a s/500,5,0,0,0,0,0,0,0,0,0
PD_21004557,Chair,1,get,329.01,2,65,0,1,202404,4,2.5,0,5,10,0.0,0.4976,5,2,0.0,0: Sin valor temático,De s/301 a s/400,4,0,1,0,0,0,0,0,1,0
PD_21004938,Him,1,power,262.18,5,36,1,1,202311,11,3.0,0,12,42,0.4976,0.4976,4,-1,2.0,2: Desarrollo personal,De s/201 a s/300,3,1,0,0,0,1,0,0,0,0
PD_21005607,Spring,3,pressure,244.26,2,59,0,1,202303,3,4.5,0,2,4,0.0,0.5248,1,2,8.0,8: Cuidado personal,De s/201 a s/300,3,1,1,0,0,1,0,0,1,1
PD_21006142,Mrs,1,long,473.43,3,37,1,0,202401,1,3.0,0,8,19,0.4976,0.0,4,5,7.0,7: Gestión emocional,De s/401 a s/500,5,1,0,0,0,1,0,0,0,0
PD_21006312,Like,3,yourself,187.23,2,28,1,0,202304,4,2.0,0,1,2,0.5248,0.0,7,5,0.0,0: Sin valor temático,De s/101 a s/200,2,0,1,0,0,0,0,0,1,0
PD_21007294,Painting,1,candidate,189.62,2,43,1,0,202408,8,5.0,0,19,19,0.4976,0.0,2,4,4.0,4: Entorno laboral,De s/101 a s/200,2,1,1,0,0,1,0,0,1,1
PD_21007366,Stuff,3,yet,224.8,4,42,1,1,202307,7,2.0,0,5,24,0.5248,0.5248,4,2,0.0,0: Sin valor temático,De s/201 a s/300,3,0,0,0,0,0,0,0,0,0
PD_21007558,Pattern,4,style,80.62,3,36,1,1,202307,7,2.33,0,1,13,0.5274,0.5274,2,-1,1.0,1: Arte y creatividad,De s/10 a s/100,1,0,0,0,0,0,0,0,0,0
PD_21007614,Stock,4,perhaps,107.97,1,25,0,1,202309,9,4.0,0,3,3,0.0,0.5274,6,2,0.0,0: Sin valor temático,De s/101 a s/200,2,1,1,0,0,1,0,0,1,1
PD_21008197,House,3,language,61.45,1,53,0,1,202406,6,2.0,0,6,6,0.0,0.5248,3,2,5.0,5: Entorno social,De s/10 a s/100,1,0,1,0,0,0,0,0,1,0
PD_21008274,Summer,3,whose,161.04,1,39,0,1,202309,9,1.0,0,2,2,0.0,0.5248,2,2,0.0,0: Sin valor temático,De s/101 a s/200,2,0,1,0,0,0,0,0,1,0
PD_21008312,Throw,1,fight,345.7,1,60,1,0,202306,6,1.0,0,2,2,0.4976,0.0,1,2,0.0,0: Sin valor temático,De s/301 a s/400,4,0,1,0,0,0,0,0,1,0
PD_21009299,Growth,2,tax,221.63,2,46,0,1,202302,2,2.5,0,2,4,0.0,0.498,1,2,4.0,4: Entorno laboral,De s/201 a s/300,3,0,1,0,0,0,0,0,1,0
PD_21009676,Some,0,left,363.83,5,39,1,0,202309,9,2.4,0,10,37,0.4954,0.0,3,5,0.0,0: Sin valor temático,De s/301 a s/400,4,0,0,0,0,0,0,0,0,0
PD_21009997,Fill,3,he,338.67,1,70,1,0,202411,11,3.0,0,6,6,0.5248,0.0,6,-1,0.0,0: Sin valor temático,De s/301 a s/400,4,1,1,0,0,1,0,0,1,1
PD_21000306,Wait,2,research,368.07,7,42,1,1,202304,4,1.71,0,14,42,0.498,0.498,1,5,5.0,5: Entorno social,De s/301 a s/400,4,0,0,0,0,0,0,0,0,0
PD_21000827,Foot,2,subject,265.75,1,21,0,1,202302,2,2.0,0,1,1,0.0,0.498,7,2,0.0,0: Sin valor temático,De s/201 a s/300,3,0,1,0,0,0,0,0,1,0
PD_21001177,Well,3,factor,368.65,3,40,1,1,202401,1,4.67,0,6,24,0.5248,0.5248,2,2,0.0,0: Sin valor temático,De s/301 a s/400,4,1,0,0,0,1,0,0,0,0
PD_21003884,City,4,such,59.62,5,42,1,1,202301,1,2.6,0,6,39,0.5274,0.5274,3,5,0.0,0: Sin valor temático,De s/10 a s/100,1,0,0,0,0,0,0,0,0,0
PD_21004285,At,1,star,463.1,3,25,0,1,202311,11,3.0,0,8,24,0.0,0.4976,6,-1,2.0,2: Desarrollo personal,De s/401 a s/500,5,1,0,0,0,1,0,0,0,0
PD_21005810,Or,3,set,70.78,5,47,1,1,202305,5,2.8,0,2,22,0.5248,0.5248,4,-1,0.0,0: Sin valor temático,De s/10 a s/100,1,0,0,0,0,0,0,0,0,0
PD_21007120,Task,1,police,86.97,2,32,1,1,202304,4,1.5,0,2,6,0.4976,0.4976,7,2,9.0,9: Instituciones,De s/10 a s/100,1,0,0,0,0,0,0,0,0,0
PD_21001019,Write,2,would,61.58,4,45,1,1,202307,7,1.75,0,8,36,0.498,0.498,1,-1,0.0,0: Sin valor temático,De s/10 a s/100,1,0,0,0,0,0,0,0,0,0
PD_21001847,Bring,0,box,178.77,3,43,1,1,202310,10,1.67,0,3,23,0.4954,0.4954,4,5,4.0,4: Entorno laboral,De s/101 a s/200,2,0,0,0,0,0,0,0,0,0
PD_21002237,Film,0,adult,459.26,7,39,0,1,202302,2,1.57,0,7,55,0.0,0.4954,3,1,4.0,4: Entorno laboral,De s/401 a s/500,5,0,0,0,0,0,0,0,0,0
PD_21003796,Adult,1,which,216.83,1,60,0,1,202401,1,4.0,0,5,5,0.0,0.4976,1,5,0.0,0: Sin valor temático,De s/201 a s/300,3,1,1,0,0,1,0,0,1,1
PD_21004722,Above,1,however,498.47,3,51,1,0,202309,9,2.67,0,3,11,0.4976,0.0,3,2,0.0,0: Sin valor temático,De s/401 a s/500,5,0,0,0,0,0,0,0,0,0
PD_21007271,Leader,0,right,271.0,2,64,0,1,202404,4,3.5,0,6,12,0.0,0.4954,5,2,0.0,0: Sin valor temático,De s/201 a s/300,3,1,1,0,0,1,0,0,1,1
PD_21008390,Nothing,2,ability,436.6,7,52,1,1,202301,1,2.14,0,2,14,0.498,0.498,2,3,2.0,2: Desarrollo personal,De s/401 a s/500,5,0,0,0,0,0,0,0,0,0
PD_21008830,Issue,3,main,146.46,2,47,1,0,202302,2,3.5,0,7,14,0.5248,0.0,4,-1,0.0,0: Sin valor temático,De s/101 a s/200,2,1,1,0,0,1,0,0,1,1
PD_21000094,Important,4,understand,225.89,7,43,1,1,202301,1,2.57,1,17,44,0.5274,0.5274,3,5,0.0,0: Sin valor temático,De s/201 a s/300,3,0,0,0,0,0,0,1,0,0
PD_21001003,Region,0,stop,391.49,4,52,1,0,202304,4,2.75,1,3,21,0.4954,0.0,2,2,0.0,0: Sin valor temático,De s/301 a s/400,4,0,0,0,0,0,0,1,0,0
PD_21001021,Start,2,real,157.44,5,32,1,0,202410,10,3.0,1,11,26,0.498,0.0,6,5,7.0,7: Gestión emocional,De s/101 a s/200,2,1,0,0,1,1,0,1,0,0
PD_21006715,Strong,3,also,17.35,2,43,1,0,202401,1,3.0,1,8,8,0.5248,0.0,4,2,0.0,0: Sin valor temático,De s/10 a s/100,1,1,1,1,1,1,1,1,1,1
PD_21003972,Coach,4,simply,178.49,5,37,1,0,202405,5,2.4,1,8,22,0.5274,0.0,2,-1,0.0,0: Sin valor temático,De s/101 a s/200,2,0,0,0,0,0,0,1,0,0
PD_21007908,Guy,4,rate,370.52,3,34,1,1,202308,8,2.0,1,13,19,0.5274,0.5274,7,2,4.0,4: Entorno laboral,De s/301 a s/400,4,0,1,0,0,0,1,1,1,0
PD_21003823,Allow,2,high,356.34,4,42,0,1,202403,3,2.75,1,13,33,0.0,0.498,1,2,3.0,3: Entorno familiar,De s/301 a s/400,4,0,0,0,0,0,0,1,0,0
PD_21004176,From,0,parent,126.09,6,41,1,1,202302,2,2.83,1,16,43,0.4954,0.4954,3,1,3.0,3: Entorno familiar,De s/101 a s/200,2,0,0,0,0,0,0,1,0,0
PD_21005846,Most,2,focus,372.97,5,46,1,1,202303,3,2.6,1,14,40,0.498,0.498,1,2,2.0,2: Desarrollo personal,De s/301 a s/400,4,0,0,0,0,0,0,1,0,0
PD_21000063,Officer,4,maintain,110.9,3,64,0,1,202402,2,3.0,0,5,15,0.0,0.5274,5,2,0.0,0: Sin valor temático,De s/101 a s/200,2,1,0,0,0,1,0,0,0,0
PD_21000077,Agency,4,religious,378.99,2,70,1,0,202305,5,3.5,0,2,4,0.5274,0.0,5,-1,5.0,5: Entorno social,De s/301 a s/400,4,1,1,0,0,1,0,0,1,1
PD_21000518,Run,2,citizen,371.35,3,29,1,1,202309,9,1.0,0,2,19,0.498,0.498,6,5,4.0,4: Entorno laboral,De s/301 a s/400,4,0,0,0,0,0,0,0,0,0
PD_21001069,Third,3,magazine,267.03,2,65,0,1,202403,3,1.0,0,1,2,0.0,0.5248,6,2,1.0,1: Arte y creatividad,De s/201 a s/300,3,0,1,0,0,0,0,0,1,0
PD_21001650,Behavior,2,rock,355.25,4,50,1,0,202306,6,2.25,0,4,14,0.498,0.0,2,0,1.0,1: Arte y creatividad,De s/301 a s/400,4,0,0,0,0,0,0,0,0,0
PD_21001661,Time,0,those,218.58,3,45,1,0,202302,2,2.67,0,1,18,0.4954,0.0,4,1,0.0,0: Sin valor temático,De s/201 a s/300,3,0,0,0,0,0,0,0,0,0
PD_21002188,Note,2,simple,263.19,3,70,1,0,202310,10,2.67,0,3,9,0.498,0.0,5,5,2.0,2: Desarrollo personal,De s/201 a s/300,3,0,0,0,0,0,0,0,0,0
PD_21003286,Run,1,one,29.49,1,27,0,1,202304,4,5.0,0,7,7,0.0,0.4976,7,2,0.0,0: Sin valor temático,De s/10 a s/100,1,1,1,0,0,1,0,0,1,1
PD_21003955,Build,3,cover,433.4,4,42,1,1,202310,10,2.5,0,7,20,0.5248,0.5248,4,2,0.0,0: Sin valor temático,De s/401 a s/500,5,0,0,0,0,0,0,0,0,0
PD_21005457,Them,0,culture,46.88,2,44,1,1,202311,11,2.5,0,1,4,0.4954,0.4954,4,2,5.0,5: Entorno social,De s/10 a s/100,1,0,0,0,0,0,0,0,0,0
PD_21005472,Activity,2,look,112.93,5,56,1,1,202303,3,2.0,0,1,32,0.498,0.498,4,2,7.0,7: Gestión emocional,De s/101 a s/200,2,0,0,0,0,0,0,0,0,0
PD_21005574,World,0,method,37.87,1,29,1,0,202310,10,4.0,0,4,4,0.4954,0.0,7,5,2.0,2: Desarrollo personal,De s/10 a s/100,1,1,1,0,0,1,0,0,1,1
PD_21007094,Ten,2,room,473.34,1,35,1,0,202407,7,2.0,0,9,9,0.498,0.0,3,-1,6.0,6: Hogar,De s/401 a s/500,5,0,1,0,0,0,0,0,1,0
PD_21007436,Democratic,4,film,194.85,2,69,1,0,202309,9,2.5,0,6,12,0.5274,0.0,5,2,5.0,5: Entorno social,De s/101 a s/200,2,0,1,0,0,0,0,0,1,0
PD_21007449,Human,0,able,145.09,1,27,0,1,202409,9,1.0,0,7,7,0.0,0.4954,7,5,7.0,7: Gestión emocional,De s/101 a s/200,2,0,1,0,0,0,0,0,1,0
PD_21009119,Leg,3,scene,92.56,2,67,0,1,202412,12,4.0,0,3,6,0.0,0.5248,6,2,2.0,2: Desarrollo personal,De s/10 a s/100,1,1,1,0,0,1,0,0,1,1
PD_21009164,Expect,1,very,462.49,1,51,0,1,202312,12,2.0,0,5,5,0.0,0.4976,3,2,0.0,0: Sin valor temático,De s/401 a s/500,5,0,1,0,0,0,0,0,1,0
PD_21002489,Decision,2,stage,408.93,2,31,0,1,202312,12,1.5,0,8,16,0.0,0.498,6,2,2.0,2: Desarrollo personal,De s/401 a s/500,5,0,1,0,0,0,0,0,1,0
PD_21002876,Single,2,business,89.86,2,22,1,0,202301,1,0.5,0,8,15,0.498,0.0,7,3,5.0,5: Entorno social,De s/10 a s/100,1,0,1,0,0,0,0,0,1,0
PD_21003117,Water,4,onto,139.07,1,51,1,0,202406,6,4.0,0,2,2,0.5274,0.0,4,2,2.0,2: Desarrollo personal,De s/101 a s/200,2,1,1,0,0,1,0,0,1,1
PD_21003883,Budget,3,nor,421.85,2,57,0,1,202402,2,3.5,0,5,10,0.0,0.5248,1,-1,0.0,0: Sin valor temático,De s/401 a s/500,5,1,1,0,0,1,0,0,1,1
PD_21005859,Many,3,public,106.79,3,67,1,0,202409,9,2.67,0,3,9,0.5248,0.0,6,2,5.0,5: Entorno social,De s/101 a s/200,2,0,0,0,0,0,0,0,0,0
PD_21006129,Woman,2,benefit,39.5,2,41,1,1,202312,12,1.5,0,6,16,0.498,0.498,3,2,2.0,2: Desarrollo personal,De s/10 a s/100,1,0,0,0,0,0,0,0,0,0
PD_21006797,About,2,sea,107.7,2,31,1,1,202310,10,2.0,0,2,5,0.498,0.498,6,5,6.0,6: Hogar,De s/101 a s/200,2,0,0,0,0,0,0,0,0,0
PD_21009564,Operation,0,reveal,357.61,6,31,1,1,202307,7,2.83,0,4,24,0.4954,0.4954,7,5,0.0,0: Sin valor temático,De s/301 a s/400,4,0,0,0,0,0,0,0,0,0
PD_21003408,Onto,1,letter,27.6,8,58,0,1,202310,10,2.5,0,10,78,0.0,0.4976,1,4,4.0,4: Entorno laboral,De s/10 a s/100,1,0,0,0,0,0,0,0,0,0
PD_21004635,Big,4,early,254.07,3,42,1,1,202310,10,1.0,0,9,15,0.5274,0.5274,3,2,0.0,0: Sin valor temático,De s/201 a s/300,3,0,1,0,0,0,0,0,1,0
PD_21005706,Positive,1,watch,109.6,4,28,0,1,202304,4,2.75,0,6,19,0.0,0.4976,7,2,7.0,7: Gestión emocional,De s/101 a s/200,2,0,0,0,0,0,0,0,0,0
PD_21005838,Source,0,short,202.88,1,35,1,0,202309,9,1.0,0,5,5,0.4954,0.0,3,5,2.0,2: Desarrollo personal,De s/201 a s/300,3,0,1,0,0,0,0,0,1,0
PD_21001123,Station,0,court,233.44,3,52,1,0,202306,6,0.67,1,12,15,0.4954,0.0,2,2,9.0,9: Instituciones,De s/201 a s/300,3,0,1,0,0,0,1,1,1,0
PD_21000336,Cell,0,find,91.54,3,46,1,1,202307,7,3.33,0,10,24,0.4954,0.4954,4,5,0.0,0: Sin valor temático,De s/10 a s/100,1,1,0,0,0,1,0,0,0,0
PD_21000406,Always,2,almost,44.2,3,40,0,1,202309,9,3.0,0,3,5,0.0,0.498,3,5,0.0,0: Sin valor temático,De s/10 a s/100,1,1,1,0,0,1,0,0,1,1
PD_21000629,Require,0,to,228.6,2,28,0,1,202410,10,2.5,0,15,15,0.0,0.4954,7,5,0.0,0: Sin valor temático,De s/201 a s/300,3,0,1,0,0,0,0,0,1,0
PD_21000659,War,4,continue,356.49,3,43,1,1,202402,2,2.0,0,8,17,0.5274,0.5274,3,2,0.0,0: Sin valor temático,De s/301 a s/400,4,0,0,0,0,0,0,0,0,0
PD_21001768,Enter,3,culture,78.83,2,29,1,0,202305,5,3.0,0,3,6,0.5248,0.0,7,-1,5.0,5: Entorno social,De s/10 a s/100,1,1,1,0,0,1,0,0,1,1
PD_21001796,Official,3,tonight,397.78,1,48,1,0,202407,7,1.0,0,10,10,0.5248,0.0,4,2,0.0,0: Sin valor temático,De s/301 a s/400,4,0,1,0,0,0,0,0,1,0
PD_21001874,Interest,0,rock,400.14,3,35,0,1,202306,6,2.33,0,5,15,0.0,0.4954,3,2,1.0,1: Arte y creatividad,De s/401 a s/500,5,0,0,0,0,0,0,0,0,0
PD_21002873,Draw,0,lawyer,117.6,5,46,0,1,202306,6,2.4,0,9,39,0.0,0.4954,4,2,9.0,9: Instituciones,De s/101 a s/200,2,0,0,0,0,0,0,0,0,0
PD_21003264,Radio,2,help,215.1,3,30,1,1,202409,9,2.33,0,13,21,0.498,0.498,6,5,7.0,7: Gestión emocional,De s/201 a s/300,3,0,1,0,0,0,0,0,1,0
PD_21003311,Appear,3,blue,306.16,3,32,0,1,202407,7,2.33,0,2,6,0.0,0.5248,7,2,8.0,8: Cuidado personal,De s/301 a s/400,4,0,0,0,0,0,0,0,0,0
PD_21003659,Bring,3,fire,254.23,4,56,1,1,202312,12,2.25,0,7,33,0.5248,0.5248,1,2,2.0,2: Desarrollo personal,De s/201 a s/300,3,0,0,0,0,0,0,0,0,0
PD_21003913,Month,1,partner,431.35,1,29,0,1,202401,1,1.0,0,10,10,0.0,0.4976,7,5,4.0,4: Entorno laboral,De s/401 a s/500,5,0,1,0,0,0,0,0,1,0
PD_21004539,Property,0,sea,495.83,5,36,0,1,202307,7,1.8,0,4,25,0.0,0.4954,3,5,6.0,6: Hogar,De s/401 a s/500,5,0,0,0,0,0,0,0,0,0
PD_21004669,Become,0,degree,274.77,2,33,1,1,202309,9,2.5,0,5,10,0.4954,0.4954,7,5,9.0,9: Instituciones,De s/201 a s/300,3,0,1,0,0,0,0,0,1,0
PD_21005382,Us,2,sit,269.73,4,55,1,1,202302,2,3.75,0,2,17,0.498,0.498,2,2,0.0,0: Sin valor temático,De s/201 a s/300,3,1,0,0,0,1,0,0,0,0
PD_21005528,Quality,2,run,333.89,4,35,1,0,202410,10,2.75,0,3,12,0.498,0.0,3,5,0.0,0: Sin valor temático,De s/301 a s/400,4,0,0,0,0,0,0,0,0,0
PD_21006206,That,3,recently,20.2,3,47,1,0,202311,11,4.67,0,5,15,0.5248,0.0,4,-1,0.0,0: Sin valor temático,De s/10 a s/100,1,1,0,0,0,1,0,0,0,0
PD_21006386,Center,3,yard,74.02,2,23,0,1,202312,12,2.5,0,3,6,0.0,0.5248,5,2,6.0,6: Hogar,De s/10 a s/100,1,0,1,0,0,0,0,0,1,0
PD_21007349,Piece,3,some,236.44,2,36,1,0,202301,1,2.0,0,1,6,0.5248,0.0,2,2,0.0,0: Sin valor temático,De s/201 a s/300,3,0,0,0,0,0,0,0,0,0
PD_21008686,Hospital,3,our,292.95,2,54,1,0,202305,5,2.5,0,7,14,0.5248,0.0,3,-1,0.0,0: Sin valor temático,De s/201 a s/300,3,0,1,0,0,0,0,0,1,0
PD_21000117,Just,4,wife,496.96,1,70,1,0,202308,8,4.0,0,6,6,0.5274,0.0,5,2,3.0,3: Entorno familiar,De s/401 a s/500,5,1,1,0,0,1,0,0,1,1
PD_21001862,Effort,3,or,104.59,4,55,1,1,202306,6,2.25,0,5,18,0.5248,0.5248,3,2,0.0,0: Sin valor temático,De s/101 a s/200,2,0,0,0,0,0,0,0,0,0
PD_21001968,Pattern,0,trade,162.18,5,39,1,1,202302,2,1.0,0,10,37,0.4954,0.4954,3,1,4.0,4: Entorno laboral,De s/101 a s/200,2,0,0,0,0,0,0,0,0,0
PD_21007697,Society,4,source,243.94,2,54,1,1,202302,2,3.5,0,4,9,0.5274,0.5274,4,2,7.0,7: Gestión emocional,De s/201 a s/300,3,1,0,0,0,1,0,0,0,0
PD_21009391,For,4,military,401.28,1,19,0,1,202309,9,2.0,0,4,4,0.0,0.5274,6,2,9.0,9: Instituciones,De s/401 a s/500,5,0,1,0,0,0,0,0,1,0
PD_21004812,Agency,2,save,426.66,2,21,0,1,202406,6,1.0,0,9,18,0.0,0.498,7,0,7.0,7: Gestión emocional,De s/401 a s/500,5,0,1,0,0,0,0,0,1,0
PD_21007487,Exactly,0,piece,183.0,1,39,0,1,202302,2,2.0,0,6,6,0.0,0.4954,3,1,3.0,3: Entorno familiar,De s/101 a s/200,2,0,1,0,0,0,0,0,1,0
PD_21008711,Item,4,address,269.52,5,40,1,1,202303,3,2.0,0,8,28,0.5274,0.5274,2,-1,6.0,6: Hogar,De s/201 a s/300,3,0,0,0,0,0,0,0,0,0
PD_21008849,Crime,0,purpose,416.55,3,36,1,1,202301,1,1.67,0,4,10,0.4954,0.4954,3,1,2.0,2: Desarrollo personal,De s/401 a s/500,5,0,0,0,0,0,0,0,0,0
PD_21007425,Relationship,4,structure,390.23,5,37,1,0,202401,1,2.6,1,12,16,0.5274,0.0,2,5,10.0,10: Innovación,De s/301 a s/400,4,0,1,0,0,0,1,1,1,0
PD_21000408,Wait,4,woman,471.58,2,65,1,0,202305,5,1.5,1,7,7,0.5274,0.0,5,-1,1.0,1: Arte y creatividad,De s/401 a s/500,5,0,1,0,0,0,1,1,1,0
PD_21001078,Defense,4,thought,113.48,3,49,1,1,202310,10,2.0,1,14,14,0.5274,0.5274,4,2,7.0,7: Gestión emocional,De s/101 a s/200,2,0,1,0,0,0,1,1,1,0
PD_21007527,According,4,forget,324.1,2,62,1,0,202309,9,0.5,1,20,20,0.5274,0.0,1,2,0.0,0: Sin valor temático,De s/301 a s/400,4,0,1,0,0,0,1,1,1,0
PD_21009929,Order,3,unit,253.63,2,35,1,1,202306,6,1.5,1,9,9,0.5248,0.5248,2,2,4.0,4: Entorno laboral,De s/201 a s/300,3,0,1,0,0,0,1,1,1,0
PD_21005404,Vote,0,maybe,353.87,4,35,1,1,202302,2,1.25,1,14,28,0.4954,0.4954,3,1,0.0,0: Sin valor temático,De s/301 a s/400,4,0,1,0,0,0,1,1,1,0
PD_21001952,Citizen,4,large,157.36,3,60,1,0,202302,2,3.0,1,15,23,0.5274,0.0,1,2,3.0,3: Entorno familiar,De s/101 a s/200,2,1,1,1,1,1,1,1,1,1
PD_21006066,Child,2,population,176.6,4,24,0,1,202308,8,1.5,1,4,10,0.0,0.498,7,2,5.0,5: Entorno social,De s/101 a s/200,2,0,0,0,0,0,0,1,0,0
PD_21006537,Example,4,word,286.59,7,48,1,0,202405,5,2.29,1,29,44,0.5274,0.0,3,-1,0.0,0: Sin valor temático,De s/201 a s/300,3,0,1,0,0,0,1,1,1,0
PD_21000677,Size,4,choice,92.59,4,28,1,1,202402,2,3.0,1,10,14,0.5274,0.5274,7,2,2.0,2: Desarrollo personal,De s/10 a s/100,1,1,1,1,1,1,1,1,1,1
PD_21001360,Collection,1,help,492.19,5,44,1,0,202402,2,2.4,1,16,43,0.4976,0.0,2,2,7.0,7: Gestión emocional,De s/401 a s/500,5,0,0,0,0,0,0,1,0,0
PD_21005435,Natural,4,special,213.57,3,42,0,1,202303,3,3.0,1,5,9,0.0,0.5274,3,-1,2.0,2: Desarrollo personal,De s/201 a s/300,3,1,1,1,1,1,1,1,1,1
PD_21006220,Various,2,social,281.95,2,33,1,1,202303,3,1.5,1,12,12,0.498,0.498,6,2,5.0,5: Entorno social,De s/201 a s/300,3,0,1,0,0,0,1,1,1,0
